date,activity,reps,set,mass (kg),duration (mins),notes
25.08.15,pull ups,7,3,,,
25.08.22,kb swing,10,3,16,,
25.08.24,kb swing,10,3,16,,
25.08.24,kb get up,5,1,16,,
25.08.24,kb press,5,2,16,,
25.08.24,pull ups,10,2,,,
25.08.30,kb swing,10,3,16,,
25.08.30,kb get up,4,1,16,,
25.08.30,single leg lunge,15,2,0,,
25.09.03,kb swing,10,3,16,,
25.09.03,kb getup,1,5,16,,
25.09.03,leg lunge ,10,3,0,,
25.09.06,kb swing,10,3,16,,
25.09.06,leg lunge,12,3,,,
25.09.09,1 leg lunge ,10,3,,,
25.09.18,forward backward lunge,10,4,0,,
25.09.18,1 leg jumps,10,5,,,
25.09.18,1 leg box jumps,5,3,,,
25.11.01,kb swing,10,5,16,,
25.11.01,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.02,kb swing,10,5,16,,
25.11.02,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.03,kb swing,10,5,16,,
25.11.03,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.05,kb swing,10,5,16,,
25.11.05,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.06,kb swing,10,5,16,,
25.11.06,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.09,kb swing,10,5,16,,
25.11.09,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.11,kb swing,10,5,16,,
25.11.11,kb getup,0,0,16,5,try to go slow and control - switch arms
25.11.16,kb getup,1,3,16,,"very slow, each side (so 1 rep per side = 1 set)"
25.11.16,kb swing,15,2,20,,1 rep per side = 1 set
25.11.16,bulgarian split squat,10,3,4.5,,10 reps per side = 1 set
25.11.16,side plank,1,3,,0.5,1 rep per side = 1 set
25.11.16,glute bridges,15,2,,,
25.11.16,bird dog,10,2,,,10 reps per side = 1 set
25.11.16,kb halos,10,2,16,,10 rotations per direction = 1 set
25.11.19,kb halos,,,,,
25.11.19,kb press,5,2,16,,5 each side = 1 rep
25.11.19,bulgarian split squat,10,3,,,10 per side = 1 set
25.11.21,bulgarian split squat,10,3,8,,10 per side = 1 set
25.11.21,plank,,4,,1,"2 normal, 1 each side"
25.11.23,kb getup,1,2,16,,
25.11.23,kb getup,1,3,20,,
25.11.23,kb swing,10,5,20,,
25.11.23,1 leg bosu,,3,6,1,
25.11.23,bulgarian split squat,10,3,20,,10 per side = 1 set
25.11.26,1 hand press,5,5,16,,
25.11.29,1 hand press,5,3,16,,
25.11.29,blugarian split squat,10,3,20,0.75,10 per side = 1 set
25.12.02,kb swing,10,5,20,,10 per side = 1 set
25.12.02,kb getup,,,20,5,5 minute straight alternate side
25.12.02,1 leg bosu,,2,10,1,
25.12.02,blugarian split squat,10,3,20,,
25.12.07,1 leg bosu,,2,10,1,
25.12.09,kb swing,10,5,20,,
25.12.09,kb getup,,,20,5,
25.12.09,bulgarian split squat,10,5,24,,1 set is 10 reps per side
25.12.11,1 leg bosu,,2,10,1,
25.12.15,1 leg bosu,,3,10,1,
25.12.15,box jumps,5,3,,,"18"" box"
25.12.15,kb swing,10,5,16,,1 set is 10 reps per side
25.12.15,kb getup,,,16,5,
25.12.15,bulgarian split squat,10,3,16,,1 set is 10 reps per side
25.12.19,box jumps,5,3,,,"18"" box"
25.12.19,kb press,5,3,16,,1 set is 10 reps per side
25.12.19,1 leg bosu,,3,10,1,
26.01.02,1 leg bosu,,3,10,1,
26.01.02,kb getup,,,20,5,
26.01.02,kb swing,10,2,20,,10 rep per side = 1 set
26.01.02,plank,,3,,1,
26.01.04,1 leg bosu,,,8,,
26.01 04,plank,,,,,
26.01.06,1 leg bosu,,4,6,,
26.01.06,plank,,4,,1,
26.01.06,box jumps,5,3,,,"21"" box"
26.01.09,plank,,4,,1,
26.01.09,1 leg bosu,,3,8,1,1 set is 1 per leg so both right and left
26.01.18,1 leg bosu,,2,5.4,1,
26.01.18,plank,,3,,1,
26.01.20,plank,,3,,1,
26.01.20,1 leg bosu,,3,8,1,
26.01.25,plank,,4,,,
26.01.25,1 leg bosu,,4,,,
26.01.25,kb swing,10,5,16,,1 set is 10 reps per side
26.01.25,kb getup,,1,16,5,
26.01.26,plank,,2,,1,
26.01.26,1 leg bosu,,2,,1,
26.01.28,plank ,,3,,,
26.01.28,1 leg bosu,,3,8,,
26.02.01,plank,,3,,,
26.02.01,2 legged balance,,4,,,"realized my right leg holds most weight, trying to redistribute weight"
26.02.01,kb swing ,10,5,20,,1 set is 10 reps per side
26.02.01,kb getup ,,1,20,5,
26.02.01,1 leg box lowers,10,3,0,,"just left side, trying to even put weight distribution between legs"
26.02.02,plank,,3,,,
26.02.02,2 legged balance,,3,,,
26.02.03,plank ,,3,,1,
26.02.03,2 legged balance,,3,,1,
26.02.07,plank,,3,,,
26.02.07,2 legged balance,,3,,,
26.02.07,box jumps,5,3,,,"24"" box!"
26.02.10,plank,,,,,
26.02.10,2 legged balance,,,,,
26.02.10,box jumps,5,3,,,"24"""
26.02.10,kb swing,10,5,20,,1 set is 10 reps per side
26.02.10,kb getup ,,,20,5,
26.02.10,bulgarian split squats ,10,5,20,,1 set is 10 reps per side
26.02.16,plank,,3,,1,
26.02.16,2 legged balance,,3,,1,
26.02.16,box jumps,5,3,,,"24"""
26.02.23,box jumps,5,3,,,27
26.02.23,2 legged balance,,3,,1,
26.02.23,plank,,3,,1,
26.03.01,plank,,3,,,
26.03.01,1 leg bosu,,3,,,
26.03.01,kb swing,10,5,20,,
26.03.01,kb getup,,,16,5,
26.03.02,plank,,2,,1.5,
26.03.02,1 leg bosu,,2,,1,
26.03.17,plank,,3,,1.5,
26.03.17,bulgarian split squats ,5,3,40,,
26.03.20,plank,1,3,,1,
26.03.20,1 leg bosu ,1,3,,1,
26.03.20,box jumps,5,3,,,27
26.03.23,1 leg bosu,,3,,1,
26.03.23,plank,,3,,1,
26.03.23,kb swing,10,5,20,,
26.03.23,kb getup ,,1,20,5.5,
26.03.23,bulgarian split squats,10,2,40,,